CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,FrequencyOfWebsiteVisits,Churn,Delivery_Charges
27650,52,Male,Zhengzhou,Bronze,5,961.67,Home Goods,2023/7/27 22:00,Student,28,0,6.5
11190,68,Female,Jinan,Bronze,6,2006.46,Electronics,2023/1/3 6:42,Self-Employed,19,0,6.5
92598,65,Female,Beijing,Silver,2,1358.83,Electronics,2023/11/26 19:39,Professional,14,1,6.5
87339,50,Female,Wuxi,Gold,8,450.86,Electronics,2023/3/28 3:58,Retired,26,0,6.5
71260,28,Female,Xi'an,Gold,3,2302.74,Clothing,2023/6/30 11:20,Self-Employed,11,0,6.5
30224,36,Male,Changchun,Platinum,8,1824.83,Home Goods,2023/1/24 12:45,Retired,12,0,6.5
70003,42,Male,Xiamen,Silver,3,971.44,Electronics,2023/5/4 19:42,Retired,1,0,6.5
52159,56,Male,Qingdao,Silver,8,452.6,Home Goods,2023/3/29 12:27,Retired,21,0,6.5
37738,46,Male,Hangzhou,Platinum,6,115.35,Electronics,2023/4/1 21:29,Professional,20,0,6.5
70695,21,Female,Nanjing,Platinum,2,788.4,Electronics,2023/4/8 14:09,Student,18,0,6.5
54245,23,Female,Guangzhou,Platinum,8,135.85,Home Goods,2023/8/18 7:05,Unemployed,9,0,6.5
75793,24,Female,Dalian,Silver,8,47.13,Home Goods,2023/3/1 8:12,Retired,26,0,6.5
58909,41,Male,Beijing,Platinum,8,1281.89,Home Goods,2023/12/15 22:27,Student,7,1,6.5
85380,60,Male,Hefei,Gold,7,691.03,Electronics,2023/9/10 6:56,Self-Employed,2,1,6.5
74050,50,Female,Dalian,Bronze,5,109.26,Clothing,2023/10/19 21:08,Student,22,0,6.5
79692,64,Male,Xi'an,Bronze,7,158.97,Electronics,2023/2/8 4:56,Retired,21,0,6.5
18013,35,Female,Xiamen,Gold,8,1876.47,Electronics,2023/6/6 20:37,Unemployed,14,0,6.5
72942,65,Male,Guangzhou,Gold,2,1157.76,Electronics,2023/3/5 2:18,Retired,7,1,6.5
35025,23,Female,Chengdu,Bronze,3,81.07,Electronics,2023/10/21 12:17,Student,10,1,6.5
15552,31,Male,Changchun,Bronze,1,377.22,Home Goods,2023/11/11 21:55,Unemployed,19,1,6.5
36078,54,Female,Kunming,Gold,5,2504.69,Home Goods,2023/2/26 9:46,Unemployed,10,1,6.5
19640,42,Female,Guangzhou,Bronze,3,2608.2,Electronics,2023/11/23 4:49,Self-Employed,9,0,6.5
30606,29,Male,Shenyang,Gold,6,429.51,Clothing,2023/10/7 11:06,Professional,26,0,6.5
64749,68,Female,Shanghai,Gold,8,175.04,Home Goods,2023/11/3 13:58,Self-Employed,19,0,6.5
92447,58,Male,Nanchang,Bronze,8,1454.15,Electronics,2023/3/7 17:13,Self-Employed,11,0,6.5
31714,36,Female,Beijing,Gold,8,146.15,Home Goods,2023/11/13 11:57,Retired,23,0,6.5
30676,26,Male,Taiyuan,Silver,7,812.46,Electronics,2023/4/21 21:35,Professional,9,0,102.79
30657,18,Male,Guangzhou,Silver,5,416.19,Electronics,2023/12/23 12:30,Retired,10,1,102.79
86803,66,Male,Qingdao,Platinum,2,2001.87,Home Goods,2023/12/12 1:44,Self-Employed,24,1,102.79
46692,41,Female,Wuxi,Gold,1,242.95,Electronics,2023/1/7 1:28,Student,6,1,102.79
55900,59,Male,Xi'an,Bronze,4,871.89,Clothing,2023/1/16 16:14,Retired,1,0,102.79
43885,31,Male,Guangzhou,Silver,6,1910.43,Electronics,2023/3/29 9:32,Student,5,0,6.5
51986,62,Male,Nanchang,Platinum,6,639.05,Home Goods,2023/11/2 19:24,Self-Employed,3,1,6.5
49550,65,Female,Kunming,Bronze,6,784.48,Electronics,2023/7/18 14:16,Self-Employed,19,1,6.5
11531,29,Male,Shenyang,Bronze,5,708.85,Electronics,2023/8/13 12:11,Unemployed,16,0,6.5
20538,38,Male,Qingdao,Silver,3,13.71,Electronics,2023/5/8 12:32,Self-Employed,27,0,6.5
99927,59,Female,Harbin,Gold,6,906.54,Home Goods,2023/8/11 19:54,Retired,7,0,6.5
27890,51,Male,Tianjin,Gold,8,2076.92,Home Goods,2023/10/24 10:28,Unemployed,21,0,6.5
20995,67,Female,Wuxi,Platinum,6,2.35,Clothing,2023/1/16 6:59,Student,14,1,6.5
37708,47,Female,Jinan,Silver,6,618.49,Home Goods,2023/4/8 12:51,Professional,10,0,6.5
64703,60,Female,Hangzhou,Platinum,7,199.44,Clothing,2023/6/3 17:04,Unemployed,19,0,6.5
31942,60,Female,Qingdao,Silver,3,156.48,Electronics,2023/11/19 14:18,Student,29,0,6.5
29936,31,Female,Tianjin,Bronze,3,2547.69,Home Goods,2023/6/28 18:19,Retired,3,0,6.5
16482,37,Female,Nanchang,Gold,6,1459.02,Electronics,2023/8/25 6:49,Student,14,0,6.5
81166,55,Male,Nanchang,Gold,6,442.64,Electronics,2023/8/8 1:20,Professional,3,1,6.5
55615,41,Male,Xi'an,Silver,5,1490.97,Electronics,2023/7/11 21:26,Self-Employed,10,0,6.5
24051,44,Male,Chengdu,Silver,5,364.84,Electronics,2023/11/11 20:47,Self-Employed,2,1,6.5
68609,56,Female,Harbin,Gold,5,340.08,Clothing,2023/9/3 23:41,Professional,20,0,6.5
14702,67,Male,Guangzhou,Silver,5,3037.92,Electronics,2023/1/6 0:51,Student,29,0,6.5
35303,18,Male,Wuxi,Bronze,11,360.17,Home Goods,2023/9/7 14:23,Retired,25,0,6.5
27915,65,Female,Changchun,Silver,3,92.84,Clothing,2023/10/20 23:52,Professional,29,0,6.5
38198,54,Female,Qingdao,Gold,6,2032.33,Clothing,2023/1/16 2:00,Self-Employed,2,0,6.5
58936,58,Female,Quanzhou,Gold,2,232.97,Clothing,2023/9/3 1:20,Professional,12,0,6.5
85992,18,Male,Quanzhou,Bronze,7,1011.02,Clothing,2023/9/6 8:57,Professional,28,1,6.5
87458,,Male,Xi'an,Silver,5,911.29,Clothing,2023/4/13 22:03,Unemployed,22,0,6.5
14419,33,Female,Xiamen,Bronze,6,216.53,Home Goods,2023/7/19 12:50,Student,20,0,6.5
90527,40,Female,Nanchang,Bronze,3,33.83,Home Goods,2023/7/18 3:06,Unemployed,25,0,6.5
56889,58,Male,Shenzhen,Silver,6,2987.02,Clothing,2023/3/21 2:31,Professional,3,1,6.5
97463,44,Male,Xiamen,Platinum,4,799.47,Electronics,2023/5/5 22:25,Retired,16,0,6.5
61762,21,Female,Zhengzhou,Platinum,6,191.36,Home Goods,2023/2/10 12:41,Unemployed,3,0,6.5
99061,69,Female,Chengdu,Platinum,6,1912.31,Electronics,2023/7/22 18:35,Self-Employed,14,0,6.5
99072,67,Female,Wuxi,Platinum,7,680.43,Electronics,2023/12/23 1:42,Self-Employed,1,1,6.5
49187,35,Female,Hefei,Silver,6,3436.43,Electronics,2023/8/12 21:27,Student,28,0,6.5
87679,33,Female,Urumqi,Platinum,2,78.29,Electronics,2023/12/14 12:45,Unemployed,29,0,6.5
72550,49,Female,Wuhan,Silver,8,979.56,Home Goods,2023/6/7 0:50,Student,15,0,28.78
34054,25,Male,Nanjing,Bronze,5,568.38,Clothing,2023/5/25 13:53,Professional,6,0,6.5
31873,55,Female,Shenyang,Gold,5,2445.19,Clothing,2023/1/23 11:10,Student,3,0,6.5
65419,55,Male,Shijiazhuang,Platinum,4,343.92,Clothing,2023/2/5 10:24,Retired,21,1,6.5
